Book,Line,Locus,Hero,Epithet,Speaker,Addressee,Greek
4,220,4.220,ΜΕΝΕΛΑΟΣ,τοὶ,,,"ὄφρα τοὶ ἀμφεπένοντο βοὴν ἀγαθὸν Μενέλαον,"
4,220,4.220,ΜΕΝΕΛΑΟΣ,ἀμφεπένοντο,,,"ὄφρα τοὶ ἀμφεπένοντο βοὴν ἀγαθὸν Μενέλαον,"
4,220,4.220,ΜΕΝΕΛΑΟΣ,βοὴν,,,"ὄφρα τοὶ ἀμφεπένοντο βοὴν ἀγαθὸν Μενέλαον,"
4,220,4.220,ΜΕΝΕΛΑΟΣ,ἀγαθὸν,,,"ὄφρα τοὶ ἀμφεπένοντο βοὴν ἀγαθὸν Μενέλαον,"
4,220,4.220,ΜΕΝΕΛΑΟΣ,βοὴν ἀγαθὸν,,,"ὄφρα τοὶ ἀμφεπένοντο βοὴν ἀγαθὸν Μενέλαον,"
4,220,4.220,ΜΕΝΕΛΑΟΣ,ἀγαθὸν Μενέλαον,,,"ὄφρα τοὶ ἀμφεπένοντο βοὴν ἀγαθὸν Μενέλαον,"
4,252,4.252,ΙΔΟΜΕΝΕΥΣ,οἳ,,,οἳ δ’ ἀμφ’ Ἰδομενῆα δαΐφρονα θωρήσσοντο·
4,252,4.252,ΙΔΟΜΕΝΕΥΣ,δ’,,,οἳ δ’ ἀμφ’ Ἰδομενῆα δαΐφρονα θωρήσσοντο·
4,252,4.252,ΙΔΟΜΕΝΕΥΣ,ἀμφ’,,,οἳ δ’ ἀμφ’ Ἰδομενῆα δαΐφρονα θωρήσσοντο·
4,252,4.252,ΙΔΟΜΕΝΕΥΣ,δαΐφρονα,,,οἳ δ’ ἀμφ’ Ἰδομενῆα δαΐφρονα θωρήσσοντο·
4,252,4.252,ΙΔΟΜΕΝΕΥΣ,θωρήσσοντο,,,οἳ δ’ ἀμφ’ Ἰδομενῆα δαΐφρονα θωρήσσοντο·
4,252,4.252,ΙΔΟΜΕΝΕΥΣ,Ἰδομενῆα δαΐφρονα,,,οἳ δ’ ἀμφ’ Ἰδομενῆα δαΐφρονα θωρήσσοντο·
4,253,4.253,ΙΔΟΜΕΝΕΥΣ,μὲν,,,"Ἰδομενεὺς μὲν ἐνὶ προμάχοις συῒ εἴκελος ἀλκήν,"
4,253,4.253,ΙΔΟΜΕΝΕΥΣ,ἐνὶ,,,"Ἰδομενεὺς μὲν ἐνὶ προμάχοις συῒ εἴκελος ἀλκήν,"
4,253,4.253,ΙΔΟΜΕΝΕΥΣ,προμάχοις,,,"Ἰδομενεὺς μὲν ἐνὶ προμάχοις συῒ εἴκελος ἀλκήν,"
4,253,4.253,ΙΔΟΜΕΝΕΥΣ,συῒ,,,"Ἰδομενεὺς μὲν ἐνὶ προμάχοις συῒ εἴκελος ἀλκήν,"
4,253,4.253,ΙΔΟΜΕΝΕΥΣ,εἴκελος,,,"Ἰδομενεὺς μὲν ἐνὶ προμάχοις συῒ εἴκελος ἀλκήν,"
4,253,4.253,ΙΔΟΜΕΝΕΥΣ,ἀλκήν,,,"Ἰδομενεὺς μὲν ἐνὶ προμάχοις συῒ εἴκελος ἀλκήν,"
4,253,4.253,ΙΔΟΜΕΝΕΥΣ,Ἰδομενεὺς μὲν ἐνὶ προμάχοις συῒ εἴκελος,,,"Ἰδομενεὺς μὲν ἐνὶ προμάχοις συῒ εἴκελος ἀλκήν,"
4,253,4.253,ΙΔΟΜΕΝΕΥΣ,προμάχοις συῒ εἴκελος,,,"Ἰδομενεὺς μὲν ἐνὶ προμάχοις συῒ εἴκελος ἀλκήν,"
4,253,4.253,ΙΔΟΜΕΝΕΥΣ,συῒ εἴκελος,,,"Ἰδομενεὺς μὲν ἐνὶ προμάχοις συῒ εἴκελος ἀλκήν,"
4,253,4.253,ΙΔΟΜΕΝΕΥΣ,εἴκελος ἀλκήν,,,"Ἰδομενεὺς μὲν ἐνὶ προμάχοις συῒ εἴκελος ἀλκήν,"
4,255,4.255,ΑΓΑΜΕΜΝΩΝ,τοὺς,,,"τοὺς δὲ ἰδὼν γήθησεν ἄναξ ἀνδρῶν Ἀγαμέμνων,"
4,255,4.255,ΑΓΑΜΕΜΝΩΝ,δὲ,,,"τοὺς δὲ ἰδὼν γήθησεν ἄναξ ἀνδρῶν Ἀγαμέμνων,"
4,255,4.255,ΑΓΑΜΕΜΝΩΝ,ἰδὼν,,,"τοὺς δὲ ἰδὼν γήθησεν ἄναξ ἀνδρῶν Ἀγαμέμνων,"
4,255,4.255,ΑΓΑΜΕΜΝΩΝ,γήθησεν,,,"τοὺς δὲ ἰδὼν γήθησεν ἄναξ ἀνδρῶν Ἀγαμέμνων,"
4,255,4.255,ΑΓΑΜΕΜΝΩΝ,ἄναξ,,,"τοὺς δὲ ἰδὼν γήθησεν ἄναξ ἀνδρῶν Ἀγαμέμνων,"
4,255,4.255,ΑΓΑΜΕΜΝΩΝ,ἀνδρῶν,,,"τοὺς δὲ ἰδὼν γήθησεν ἄναξ ἀνδρῶν Ἀγαμέμνων,"
4,255,4.255,ΑΓΑΜΕΜΝΩΝ,ἄναξ ἀνδρῶν,,,"τοὺς δὲ ἰδὼν γήθησεν ἄναξ ἀνδρῶν Ἀγαμέμνων,"
4,256,4.256,ΙΔΟΜΕΝΕΥΣ,αὐτίκα,,,αὐτίκα δ’ Ἰδομενῆα προσηύδα μειλιχίοισιν·
4,256,4.256,ΙΔΟΜΕΝΕΥΣ,δ’,,,αὐτίκα δ’ Ἰδομενῆα προσηύδα μειλιχίοισιν·
4,256,4.256,ΙΔΟΜΕΝΕΥΣ,προσηύδα,,,αὐτίκα δ’ Ἰδομενῆα προσηύδα μειλιχίοισιν·
4,256,4.256,ΙΔΟΜΕΝΕΥΣ,μειλιχίοισιν,,,αὐτίκα δ’ Ἰδομενῆα προσηύδα μειλιχίοισιν·
4,256,4.256,ΙΔΟΜΕΝΕΥΣ,αὐτίκα δ’ Ἰδομενῆα,,,αὐτίκα δ’ Ἰδομενῆα προσηύδα μειλιχίοισιν·
4,256,4.256,ΙΔΟΜΕΝΕΥΣ,Ἰδομενῆα προσηύδα μειλιχίοισιν,,,αὐτίκα δ’ Ἰδομενῆα προσηύδα μειλιχίοισιν·
4,257,4.257,ΙΔΟΜΕΝΕΥΣ,περὶ,Agamemnon,Idomeneus,Ἰδομενεῦ περὶ μέν σε τίω Δαναῶν ταχυπώλων
4,257,4.257,ΙΔΟΜΕΝΕΥΣ,μέν,Agamemnon,Idomeneus,Ἰδομενεῦ περὶ μέν σε τίω Δαναῶν ταχυπώλων
4,257,4.257,ΙΔΟΜΕΝΕΥΣ,σε,Agamemnon,Idomeneus,Ἰδομενεῦ περὶ μέν σε τίω Δαναῶν ταχυπώλων
4,257,4.257,ΙΔΟΜΕΝΕΥΣ,τίω,Agamemnon,Idomeneus,Ἰδομενεῦ περὶ μέν σε τίω Δαναῶν ταχυπώλων
4,257,4.257,ΙΔΟΜΕΝΕΥΣ,ταχυπώλων,Agamemnon,Idomeneus,Ἰδομενεῦ περὶ μέν σε τίω Δαναῶν ταχυπώλων
4,257,4.257,ΙΔΟΜΕΝΕΥΣ,Ἰδομενεῦ περὶ μέν σε τίω Δαναῶν ταχυπώλων,Agamemnon,Idomeneus,Ἰδομενεῦ περὶ μέν σε τίω Δαναῶν ταχυπώλων
4,257,4.257,ΙΔΟΜΕΝΕΥΣ,μέν σε τίω Δαναῶν ταχυπώλων,Agamemnon,Idomeneus,Ἰδομενεῦ περὶ μέν σε τίω Δαναῶν ταχυπώλων
4,257,4.257,ΙΔΟΜΕΝΕΥΣ,Δαναῶν ταχυπώλων,Agamemnon,Idomeneus,Ἰδομενεῦ περὶ μέν σε τίω Δαναῶν ταχυπώλων
4,265,4.265,ΙΔΟΜΕΝΕΥΣ,τὸν,,,τὸν δ’ αὖτ’ Ἰδομενεὺς Κρητῶν ἀγὸς ἀντίον ηὔδα·
