Book,Line,Locus,Hero,Epithet,Speaker,Addressee,Greek
3,30,3.30,ΠΑΡΙΣ,θεοειδὴς,,,τὸν δ’ ὡς οὖν ἐνόησεν Ἀλέξανδρος θεοειδὴς
3,37,3.37,ΠΑΡΙΣ,θεοειδής,,,δείσας Ἀτρέος υἱὸν Ἀλέξανδρος θεοειδής.
3,52,3.52,ΜΕΝΕΛΑΟΣ,ἀρηΐφιλον,Hector,Paris,οὐκ ἂν δὴ μείνειας ἀρηΐφιλον Μενέλαον;
3,58,3.58,ΠΑΡΙΣ,θεοειδής,,,τὸν δ’ αὖτε προσέειπεν Ἀλέξανδρος θεοειδής·
3,69,3.69,ΜΕΝΕΛΑΟΣ,ἀρηΐφιλον,Paris,Hector,αὐτὰρ ἔμ’ ἐν μέσσῳ καὶ ἀρηΐφιλον Μενέλαον
3,81,3.81,ΑΓΑΜΕΜΝΩΝ,ἄναξ ἀνδρῶν,,,αὐτὰρ ὃ μακρὸν ἄϋσεν ἄναξ ἀνδρῶν Ἀγαμέμνων·
3,83,3.83,ΕΚΤΩΡ,κορυθαίολος,Agamemnon,Greeks,στεῦται γάρ τι ἔπος ἐρέειν κορυθαίολος Ἕκτωρ.
3,90,3.90,ΜΕΝΕΛΑΟΣ,ἀρηΐφιλον,Hector,Greeks; Trojans,αὐτὸν δ’ ἐν μέσσῳ καὶ ἀρηΐφιλον Μενέλαον
3,96,3.96,ΜΕΝΕΛΑΟΣ,ἀγαθὸς,,,τοῖσι δὲ καὶ μετέειπε βοὴν ἀγαθὸς Μενέλαος·
3,96,3.96,ΜΕΝΕΛΑΟΣ,βοὴν ἀγαθὸς,,,τοῖσι δὲ καὶ μετέειπε βοὴν ἀγαθὸς Μενέλαος·
3,121,3.121,ΕΛΕΝΟΣ,λευκωλένῳ,,,Ἶρις δ’ αὖθ’ Ἑλένῃ λευκωλένῳ ἄγγελος ἦλθεν
3,136,3.136,ΜΕΝΕΛΑΟΣ,ἀρηΐφιλος,Iris-Laodice,Helena,αὐτὰρ Ἀλέξανδρος καὶ ἀρηΐφιλος Μενέλαος
3,178,3.178,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδης,Helena,Priam,"οὗτός γ’ Ἀτρεΐδης εὐρὺ κρείων Ἀγαμέμνων,"
3,178,3.178,ΑΓΑΜΕΜΝΩΝ,κρείων,Helena,Priam,"οὗτός γ’ Ἀτρεΐδης εὐρὺ κρείων Ἀγαμέμνων,"
3,182,3.182,ΑΓΑΜΕΜΝΩΝ,Ἀτρεΐδη,Priam,Helena,"ὦ μάκαρ Ἀτρεΐδη μοιρηγενὲς ὀλβιόδαιμον,"
3,182,3.182,ΑΓΑΜΕΜΝΩΝ,ὀλβιόδαιμον,Priam,Helena,"ὦ μάκαρ Ἀτρεΐδη μοιρηγενὲς ὀλβιόδαιμον,"
3,191,3.191,ΟΔΥΣΣΕΥΣ,δεύτερον,,,δεύτερον αὖτ’ Ὀδυσῆα ἰδὼν ἐρέειν’ ὁ γεραιός·
3,191,3.191,ΟΔΥΣΣΕΥΣ,αὖτ’,,,δεύτερον αὖτ’ Ὀδυσῆα ἰδὼν ἐρέειν’ ὁ γεραιός·
3,200,3.200,ΟΔΥΣΣΕΥΣ,οὗτος,Helena,Priam,"οὗτος δ’ αὖ Λαερτιάδης πολύμητις Ὀδυσσεύς,"
3,200,3.200,ΟΔΥΣΣΕΥΣ,Λαερτιάδης,Helena,Priam,"οὗτος δ’ αὖ Λαερτιάδης πολύμητις Ὀδυσσεύς,"
3,200,3.200,ΟΔΥΣΣΕΥΣ,πολύμητις,Helena,Priam,"οὗτος δ’ αὖ Λαερτιάδης πολύμητις Ὀδυσσεύς,"
3,205,3.205,ΟΔΥΣΣΕΥΣ,δῖος,Antenor,Helena,ἤδη γὰρ καὶ δεῦρό ποτ’ ἤλυθε δῖος Ὀδυσσεὺς
3,206,3.206,ΜΕΝΕΛΑΟΣ,ἀρηϊφίλῳ,Antenor,Helena,σεῦ ἕνεκ’ ἀγγελίης σὺν ἀρηϊφίλῳ Μενελάῳ·
3,211,3.211,ΟΔΥΣΣΕΥΣ,γεραρώτερος,Antenor,Helena,ἄμφω δ’ ἑζομένω γεραρώτερος ἦεν Ὀδυσσεύς·
3,229,3.229,ΑΙΑΣ,οὗτος,Helena,Priam,οὗτος δ’ Αἴας ἐστὶ πελώριος ἕρκος Ἀχαιῶν·
3,229,3.229,ΑΙΑΣ,πελώριος,Helena,Priam,οὗτος δ’ Αἴας ἐστὶ πελώριος ἕρκος Ἀχαιῶν·
3,232,3.232,ΜΕΝΕΛΑΟΣ,ἀρηΐφιλος,Helena,Priam,πολλάκι μιν ξείνισσεν ἀρηΐφιλος Μενέλαος
3,253,3.253,ΜΕΝΕΛΑΟΣ,ἀρηΐφιλος,Idaeus,Priam,αὐτὰρ Ἀλέξανδρος καὶ ἀρηΐφιλος Μενέλαος
3,267,3.267,ΑΓΑΜΕΜΝΩΝ,ἄναξ ἀνδρῶν,,,"ὄρνυτο δ’ αὐτίκ’ ἔπειτα ἄναξ ἀνδρῶν Ἀγαμέμνων,"
3,268,3.268,ΟΔΥΣΣΕΥΣ,πολύμητις,,,ἂν δ’ Ὀδυσεὺς πολύμητις· ἀτὰρ κήρυκες ἀγαυοὶ
